S/N,Throughput,UL Packet Loss,DL Packet Loss
159,325.34792188,0.00004222,0.00012592
160,326.71161719,0.00004198,0.00012505
161,328.46539844,0.00004174,0.00012412
162,330.49817188,0.00004151,0.00012318
163,332.04065625,0.00004127,0.00012228
164,333.87470313,0.00004104,0.00012134
165,335.43281250,0.00004081,0.00012061
166,336.89771094,0.00004059,0.00011982
167,338.64227344,0.00004036,0.00011896
168,340.00781250,0.00004014,0.00011832
169,341.70389844,0.00003992,0.00011752
170,343.23303906,0.00003970,0.00011678
171,344.48378125,0.00003949,0.00011618
172,346.28069531,0.00003928,0.00011537
173,348.02946875,0.00003907,0.00011457
174,349.74168750,0.00003886,0.00011379
175,351.51176563,0.00003863,0.00011301
176,353.05960156,0.00003843,0.00011235
177,354.43942969,0.00003823,0.00011171
178,356.15273438,0.00003803,0.00011102
179,357.60474219,0.00003783,0.00011033
180,359.68782031,0.00003764,0.00010956
181,361.27934375,0.00003745,0.00010891
182,362.48094531,0.00003727,0.00010835
183,364.12039844,0.00003708,0.00010776
184,365.80613281,0.00003690,0.00010711
185,367.15799219,0.00003672,0.00010648
186,368.86200781,0.00003654,0.00010584
187,370.62153125,0.00003636,0.00010517
188,372.53399219,0.00003618,0.00010448
189,374.57207813,0.00003600,0.00010383
190,376.07212500,0.00003583,0.00010332
191,378.28968750,0.00003566,0.00010261
192,380.35817188,0.00003549,0.00010194
193,382.06953906,0.00003532,0.00010136
194,383.89348438,0.00003515,0.00010072
195,385.61036719,0.00003498,0.00010017
196,387.17089844,0.00003482,0.00009959
197,388.79143750,0.00003466,0.00009906
198,390.54171875,0.00003450,0.00009850
199,392.05903906,0.00003433,0.00009793
200,393.71860156,0.00003418,0.00009739
201,395.27870313,0.00003402,0.00009695
202,396.73684375,0.00003387,0.00009643
203,398.54644531,0.00003371,0.00009596
204,400.23407813,0.00003356,0.00009547
205,402.04542188,0.00003341,0.00009486
206,403.70889063,0.00003326,0.00009436
207,404.87370313,0.00003311,0.00009395
208,406.49684375,0.00003296,0.00009348
209,408.14389063,0.00003282,0.00009304
210,409.56594531,0.00003267,0.00009254
211,411.54625000,0.00003253,0.00009202
212,413.26829688,0.00003239,0.00009155
213,414.51246875,0.00003225,0.00009113
214,416.10324219,0.00003211,0.00009074
215,417.37342969,0.00003197,0.00009035
216,419.16466406,0.00003183,0.00008987
217,420.82128125,0.00003170,0.00008943
218,422.09688281,0.00003156,0.00008905
219,424.25386719,0.00003143,0.00008857
220,426.08735938,0.00003130,0.00008813
221,427.37416406,0.00003117,0.00008772
222,429.22800781,0.00003103,0.00008724
223,430.91296875,0.00003090,0.00008683
224,432.25115625,0.00003078,0.00008644
225,434.07181250,0.00003065,0.00008602
226,435.67119531,0.00003052,0.00008566
227,437.04608594,0.00003040,0.00008523
228,438.65587500,0.00003027,0.00008485
229,440.00249219,0.00003015,0.00008447
230,441.55748438,0.00003002,0.00008412
231,443.05887500,0.00002990,0.00008374
232,444.21762500,0.00002979,0.00008341
233,446.24008594,0.00002966,0.00008298
234,447.96721875,0.00002954,0.00008254
235,449.28257813,0.00002942,0.00008221
236,450.65778125,0.00002922,0.00008188
237,451.30775000,0.00002900,0.00008163
238,452.67926563,0.00002880,0.00008126
239,454.24248438,0.00002866,0.00008090
240,455.72899219,0.00002855,0.00008053
241,457.39069531,0.00002844,0.00008013
242,459.08965625,0.00002833,0.00007975
243,460.26946875,0.00002822,0.00007945
244,461.84595313,0.00002812,0.00007913
245,463.76535938,0.00002801,0.00007873
246,465.17798438,0.00002790,0.00007837
247,466.82171094,0.00002780,0.00007803
248,468.38487500,0.00002769,0.00007772
249,469.49583594,0.00002759,0.00007740
250,471.14275781,0.00002749,0.00007708
251,472.28525000,0.00002739,0.00007680
252,473.93959375,0.00002729,0.00007644
253,475.86785938,0.00002719,0.00007608
254,477.90156250,0.00002709,0.00007574
255,479.09708594,0.00002699,0.00007547
256,480.73300781,0.00002690,0.00007519
257,481.98081250,0.00002680,0.00007491
258,483.82495313,0.00002670,0.00007457
259,485.58081250,0.00002661,0.00007425
260,487.49990625,0.00002651,0.00007394
261,489.41539063,0.00002642,0.00007363
262,491.59435938,0.00002632,0.00007332
263,493.25557031,0.00002623,0.00007299
264,495.28437500,0.00002614,0.00007266
265,497.29951563,0.00002605,0.00007235
266,499.13377344,0.00002595,0.00007204
267,500.94683594,0.00002587,0.00007173
268,502.25234375,0.00002578,0.00007150
269,503.93056250,0.00002569,0.00007118
270,505.36489063,0.00002560,0.00007095
271,506.73833594,0.00002551,0.00007065
272,508.24909375,0.00002542,0.00007036
273,509.73963281,0.00002534,0.00007008
274,510.97502344,0.00002525,0.00006980
275,512.32074219,0.00002516,0.00006955
276,513.75389844,0.00002508,0.00006928
277,514.92179688,0.00002499,0.00006902
278,516.40925000,0.00002491,0.00006874
279,517.44268750,0.00002483,0.00006854
280,518.83997656,0.00002475,0.00006828
281,520.24924219,0.00002466,0.00006802
282,521.35572656,0.00002458,0.00006780
283,522.83862500,0.00002450,0.00006749
284,524.46188281,0.00002442,0.00006720
285,526.53278125,0.00002434,0.00006692
286,528.61212500,0.00002426,0.00006666
287,530.87312500,0.00002418,0.00006639
288,532.86636719,0.00002410,0.00006611
289,535.22738281,0.00002402,0.00006582
290,537.49155469,0.00002395,0.00006556
291,538.91871875,0.00002387,0.00006534
292,540.74707031,0.00002379,0.00006512
293,542.16719531,0.00002372,0.00006488
294,544.02388281,0.00002364,0.00006462
295,545.96671875,0.00002357,0.00006437
296,547.28723438,0.00002350,0.00006415
297,548.99545313,0.00002342,0.00006393
298,550.77788281,0.00002335,0.00006370
299,552.05258594,0.00002327,0.00006350
300,553.72339063,0.00002320,0.00006330
301,555.44498438,0.00002313,0.00006307
302,556.81835938,0.00002306,0.00006286
303,558.56756250,0.00002299,0.00006263
